id,country,region,city,state,latitude,longitude,population,population_source,population_date,gdp,gdp_source,gdp_date,age,capture_date,notes,map_url
579,us,Northern America,Macomb,IL,40.45921,-90.6718,17559,http://worldpopulationreview.com/us-cities/macomb-il-population,2018,922.304034,http://worldpopulationreview.com/us-cities/macomb-il-population,,,,,"https://www.google.com/maps/@40.45921,-90.6718,20000m/data=!3m1!1e3"
580,us,Northern America,Mattoon,IL,39.48309,-88.37283,17729,http://worldpopulationreview.com/us-cities/mattoon-il-population,2018,929.318722,http://worldpopulationreview.com/us-cities/mattoon-il-population,,,,,"https://www.google.com/maps/@39.48309,-88.37283,20000m/data=!3m1!1e3"
581,us,Northern America,Moline,IL,41.5067,-90.51513,41902,http://worldpopulationreview.com/us-cities/moline-il-population,2018,2883.821346,http://worldpopulationreview.com/us-cities/moline-il-population,,,,,"https://www.google.com/maps/@41.5067,-90.51513,20000m/data=!3m1!1e3"
582,us,Northern America,Monmouth,IL,40.91143,-90.64736,8998,http://worldpopulationreview.com/us-cities/monmouth-il-population,2018,482.436768,http://worldpopulationreview.com/us-cities/monmouth-il-population,,,,,"https://www.google.com/maps/@40.91143,-90.64736,20000m/data=!3m1!1e3"
583,us,Northern America,Mount Vernon,IL,38.31727,-88.90312,14849,http://worldpopulationreview.com/us-cities/mount-vernon-il-population,2018,772.177698,http://worldpopulationreview.com/us-cities/mount-vernon-il-population,,,,,"https://www.google.com/maps/@38.31727,-88.90312,20000m/data=!3m1!1e3"
584,us,Northern America,Mundelein,IL,42.26308,-88.00397,31234,http://worldpopulationreview.com/us-cities/mundelein-il-population,2018,3236.092272,http://worldpopulationreview.com/us-cities/mundelein-il-population,,,,,"https://www.google.com/maps/@42.26308,-88.00397,20000m/data=!3m1!1e3"
585,us,Northern America,Naperville,IL,41.74917,-88.16202,148304,http://worldpopulationreview.com/us-cities/naperville-il-population,2018,20894.253952,http://worldpopulationreview.com/us-cities/naperville-il-population,,,,,"https://www.google.com/maps/@41.74917,-88.16202,20000m/data=!3m1!1e3"
586,us,Northern America,Nauvoo,IL,40.55004,-91.38487,1065,http://worldpopulationreview.com/us-cities/nauvoo-il-population,2018,72.874755,http://worldpopulationreview.com/us-cities/nauvoo-il-population,,,,,"https://www.google.com/maps/@40.55004,-91.38487,20000m/data=!3m1!1e3"
587,us,Northern America,Normal,IL,40.5142,-88.99063,54742,http://worldpopulationreview.com/us-cities/normal-il-population,2018,3998.848358,http://worldpopulationreview.com/us-cities/normal-il-population,,,,,"https://www.google.com/maps/@40.5142,-88.99063,20000m/data=!3m1!1e3"
588,us,Northern America,North Chicago,IL,42.32558,-87.84118,29770,http://worldpopulationreview.com/us-cities/north-chicago-il-population,2018,1606.12127,http://worldpopulationreview.com/us-cities/north-chicago-il-population,,,,,"https://www.google.com/maps/@42.32558,-87.84118,20000m/data=!3m1!1e3"
589,us,Northern America,Oak Park,IL,41.88503,-87.7845,52265,http://worldpopulationreview.com/us-cities/oak-park-il-population,2018,6470.877385,http://worldpopulationreview.com/us-cities/oak-park-il-population,,,,,"https://www.google.com/maps/@41.88503,-87.7845,20000m/data=!3m1!1e3"
590,us,Northern America,Ottawa,IL,41.34559,-88.84258,18128,http://worldpopulationreview.com/us-cities/ottawa-il-population,2018,1184.719184,http://worldpopulationreview.com/us-cities/ottawa-il-population,,,,,"https://www.google.com/maps/@41.34559,-88.84258,20000m/data=!3m1!1e3"
